country,status,tiles_downloaded,output_file,r2_key,size_mb,error,timestamp
Seychelles,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Seychelles_LULC.tif,,0.0,,2026-04-21T13:35:17.412327+00:00
Sao Tome and Principe,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Sao_Tome_and_Principe_LULC.tif,,0.0,,2026-04-21T13:35:17.414409+00:00
Comoros,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Comoros_LULC.tif,,0.0,,2026-04-21T13:35:17.417534+00:00
Mauritius,in_progress,0,,,0.0,,2026-04-21T13:35:17.649755+00:00
Mauritius,skipped,0,,,0.0,no valid data after per-tile clip,2026-04-21T13:35:19.333520+00:00
Cabo Verde,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Cabo_Verde_LULC.tif,,0.0,,2026-04-21T13:35:19.335142+00:00
Gambia,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Gambia_LULC.tif,,0.0,,2026-04-21T13:35:19.344446+00:00
Eswatini,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Eswatini_LULC.tif,,0.0,,2026-04-21T13:35:19.348186+00:00
Djibouti,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Djibouti_LULC.tif,,0.0,,2026-04-21T13:35:19.350081+00:00
Rwanda,in_progress,0,,,0.0,,2026-04-21T13:35:19.351800+00:00
Rwanda,skipped,0,,,0.0,no valid data after per-tile clip,2026-04-21T13:35:19.572369+00:00
Burundi,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Burundi_LULC.tif,,0.0,,2026-04-21T13:35:19.635155+00:00
Equatorial Guinea,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Equatorial_Guinea_LULC.tif,,0.0,,2026-04-21T13:35:19.647227+00:00
Lesotho,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Lesotho_LULC.tif,,0.0,,2026-04-21T13:35:19.649708+00:00
Guinea-Bissau,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Guinea-Bissau_LULC.tif,,0.0,,2026-04-21T13:35:19.651673+00:00
Togo,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Togo_LULC.tif,,0.0,,2026-04-21T13:35:19.654876+00:00
Sierra Leone,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Sierra_Leone_LULC.tif,,0.0,,2026-04-21T13:35:19.657472+00:00
Liberia,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Liberia_LULC.tif,,0.0,,2026-04-21T13:35:19.659800+00:00
Benin,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Benin_LULC.tif,,0.0,,2026-04-21T13:35:19.661400+00:00
Eritrea,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Eritrea_LULC.tif,,0.0,,2026-04-21T13:35:19.663074+00:00
Malawi,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Malawi_LULC.tif,,0.0,,2026-04-21T13:35:19.665597+00:00
Tunisia,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Tunisia_LULC.tif,,0.0,,2026-04-21T13:35:19.667624+00:00
Senegal,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Senegal_LULC.tif,,0.0,,2026-04-21T13:35:19.669234+00:00
Ghana,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Ghana_LULC.tif,,0.0,,2026-04-21T13:35:19.671469+00:00
Uganda,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Uganda_LULC.tif,,0.0,,2026-04-21T13:35:19.673765+00:00
Guinea,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Guinea_LULC.tif,,0.0,,2026-04-21T13:35:19.675502+00:00
Gabon,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Gabon_LULC.tif,,0.0,,2026-04-21T13:35:19.677134+00:00
Burkina Faso,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Burkina_Faso_LULC.tif,,0.0,,2026-04-21T13:35:19.679509+00:00
Zambia,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Zambia_LULC.tif,,0.0,,2026-04-21T13:35:19.683269+00:00
Zimbabwe,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Zimbabwe_LULC.tif,,0.0,,2026-04-21T13:35:19.685348+00:00
Botswana,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Botswana_LULC.tif,,0.0,,2026-04-21T13:35:19.687381+00:00
Madagascar,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Madagascar_LULC.tif,,0.0,,2026-04-21T13:35:19.690357+00:00
Mozambique,in_progress,0,,,0.0,,2026-04-21T13:35:19.692019+00:00
