country,status,tiles_downloaded,output_file,r2_key,size_mb,error,timestamp
Seychelles,in_progress,0,,,0.0,,2026-04-19T13:49:56.584812+00:00
Seychelles,done,2,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Seychelles_LULC.tif,lulc/Seychelles/Seychelles_LULC.tif,3.9142,,2026-04-19T13:53:43.643693+00:00
Sao Tome and Principe,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Sao_Tome_and_Principe_LULC.tif,,0.0,,2026-04-19T13:53:43.815065+00:00
Comoros,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Comoros_LULC.tif,,0.0,,2026-04-19T13:53:43.817024+00:00
Mauritius,in_progress,0,,,0.0,,2026-04-19T13:53:43.818764+00:00
Mauritius,skipped,0,,,0.0,no valid data after per-tile clip,2026-04-19T13:53:43.884518+00:00
Cabo Verde,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Cabo_Verde_LULC.tif,,0.0,,2026-04-19T13:53:43.886365+00:00
Gambia,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Gambia_LULC.tif,,0.0,,2026-04-19T13:53:43.888325+00:00
Eswatini,in_progress,0,,,0.0,,2026-04-19T13:53:43.891419+00:00
Eswatini,done,2,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Eswatini_LULC.tif,lulc/Eswatini/Eswatini_LULC.tif,21.6081,,2026-04-19T13:55:07.915603+00:00
Djibouti,skipped,0,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Djibouti_LULC.tif,,0.0,,2026-04-19T13:55:07.958506+00:00
Rwanda,in_progress,0,,,0.0,,2026-04-19T13:55:07.960359+00:00
Rwanda,skipped,0,,,0.0,no valid data after per-tile clip,2026-04-19T13:55:08.007007+00:00
Burundi,in_progress,0,,,0.0,,2026-04-19T13:55:08.009078+00:00
Burundi,done,4,C:\Users\Muleng Chilufy\Documents\My VSCode personal worksace for Lenga Maps\parallel-lenga-maps-website\output\LULC\Burundi_LULC.tif,lulc/Burundi/Burundi_LULC.tif,14.0758,,2026-04-19T13:55:58.069048+00:00
